# gunzip -c exp/chain/tdnn_7b/decode_dev_eval_asr/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/chain/tdnn_7b/graph 
# Started at Wed Sep  2 09:29:13 IST 2020
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (126,126.0,126) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (178,178.0,178) frames.
Overall, nonsilence accounts for 89.6% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.6,5) frames.
Overall, sil accounts for 10.4% of phone occurrences, with duration (median, mean, 95-percentile) is (13,34.3,166) frames.
Overall, ah_I accounts for 5.2% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.1,3) frames.
Overall, n_I accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (2,1.9,3) frames.
Overall, ih_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.1,3) frames.
Overall, t_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.2,3) frames.
Overall, t_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.3,4) frames.
Overall, n_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (2,3.0,5) frames.
Overall, d_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.2,3) frames.
Overall, dh_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (2,1.9,3) frames.
Overall, m_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.5,4) frames.
Overall, r_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (2,1.8,4) frames.
Overall, eh_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.5,4) frames.
Overall, iy_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.7,4) frames.
Overall, s_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,6) frames.
Overall, ih_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.4,4) frames.
Overall, w_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.8,4) frames.
Overall, ah_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.3,3) frames.
Overall, z_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,6) frames.
Overall, aa_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.9,5) frames.
Overall, s_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,4) frames.
Overall, uw_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,7) frames.
Overall, er_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.7,4) frames.
Overall, iy_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.4,5) frames.
Overall, k_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.2,3) frames.
Overall, l_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.7,4) frames.
Overall, ae_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.5,4) frames.
Overall, s_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.5,3) frames.
Overall, m_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,5) frames.
Overall, b_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.7,3) frames.
Overall, m_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.0,3) frames.
Overall, p_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.3,3) frames.
Overall, t_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.0,3) frames.
Overall, ao_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.7,5) frames.
Overall, f_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.4,3) frames.
Overall, ay_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.3,5) frames.
Overall, ay_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.4,8) frames.
Overall, er_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.2,5) frames.
Overall, v_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.6,4) frames.
Overall, ay_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.2,6) frames.
Overall, p_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.3,3) frames.
Overall, r_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.4,4) frames.
