# gunzip -c exp/chain/tdnn_7b/decode_dev_eval_asr/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/chain/tdnn_7b/graph 
# Started at Wed Sep  2 10:28:36 IST 2020
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (105,105.0,105) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (1064,1064.0,1064) frames.
Overall, nonsilence accounts for 90.4% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.6,5) frames.
Overall, sil accounts for 9.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,32.8,107) frames.
Overall, ah_I accounts for 5.5% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.1,3) frames.
Overall, n_I accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (2,1.8,3) frames.
Overall, ih_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.0,3) frames.
Overall, t_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.4,4) frames.
Overall, t_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.3,4) frames.
Overall, d_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.2,4) frames.
Overall, n_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.8,4) frames.
Overall, ih_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.4,4) frames.
Overall, iy_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.7,4) frames.
Overall, m_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.2,3) frames.
Overall, w_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.6,5) frames.
Overall, dh_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (2,1.9,3) frames.
Overall, r_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (2,1.6,2) frames.
Overall, ah_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.3,4) frames.
Overall, eh_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.4,4) frames.
Overall, er_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.5,3) frames.
Overall, l_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.7,4) frames.
Overall, iy_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,5) frames.
Overall, z_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.8,5) frames.
Overall, s_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.8,5) frames.
Overall, ae_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.6,5) frames.
Overall, k_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.3,4) frames.
Overall, uw_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.1,8) frames.
